測定局コード,測定局名称,住所,局種別,地域コード,都道府県コード,市区町村名,SO2測定有無,NO測定有無,NO2測定有無,NOX測定有無,CO測定有無,OX測定有無,NMHC測定有無,CH4測定有無,THC測定有無,SPM測定有無,PM2.5測定有無,SP測定有無,WD測定有無,WS測定有無,TEMP測定有無,HUM測定有無,問い合わせ先
01101010,センター,札幌市中央区北１西２,一般局,1,01,札幌市中央区,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,×,×,×,×,×,×,札幌市
01101020,山鼻,札幌市中央区南２３西１３,一般局,1,01,札幌市中央区,◯,×,×,×,×,◯,×,×,×,×,×,×,×,×,×,×,札幌市
01101520,北１条,札幌市中央区北１西２,自排局,1,01,札幌市中央区,×,◯,◯,◯,◯,×,×,×,×,◯,◯,×,×,×,×,×,札幌市
01101540,南１４条,札幌市中央区南１４条西１０丁目,自排局,1,01,札幌市中央区,×,◯,◯,◯,×,×,×,×,×,◯,◯,×,×,×,×,×,札幌市
01102010,篠路,札幌市北区篠路４－９,一般局,1,01,札幌市北区,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,×,×,×,×,札幌市
01102020,国設札幌大気環境測定所,札幌市北区北19条西12丁目,一般局,1,01,札幌市北区,◯,◯,◯,◯,◯,◯,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,環境省
01102510,北１９条,札幌市北区北１９西２,自排局,1,01,札幌市北区,×,◯,◯,◯,×,×,×,×,×,◯,◯,×,×,×,×,×,札幌市
01103010,東,札幌市東区北１８東５,一般局,1,01,札幌市東区,×,×,×,×,×,◯,×,×,×,×,×,×,×,×,×,×,札幌市
01103520,東１８丁目,札幌市東区北３３東１８,自排局,1,01,札幌市東区,×,◯,◯,◯,×,×,×,×,×,◯,◯,×,×,×,×,×,札幌市
01104030,北白石,札幌市白石区菊水元町８－３,一般局,1,01,札幌市白石区,×,×,×,×,×,◯,×,×,×,×,◯,×,×,×,×,×,札幌市
01105010,東月寒,札幌市豊平区月寒東４－１８,一般局,1,01,札幌市豊平区,◯,×,×,×,×,◯,×,×,×,×,×,×,×,×,×,×,札幌市
01105520,月寒中央,札幌市豊平区月寒中央通７丁目,自排局,1,01,札幌市豊平区,×,◯,◯,◯,×,×,×,×,×,◯,◯,×,×,×,×,×,札幌市
01106050,駒岡,札幌市南区真駒内602,一般局,1,01,札幌市南区,×,×,×,×,×,◯,×,×,×,×,◯,×,×,×,×,×,札幌市
01107020,発寒,札幌市西区発寒５－７,一般局,1,01,札幌市西区,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,×,×,×,×,札幌市
01107030,手稲,札幌市手稲区前田２－１２,一般局,1,01,札幌市手稲区,×,×,×,×,×,◯,×,×,×,×,◯,×,×,×,×,×,札幌市
01108010,厚別,札幌市厚別区厚別中央４－３,一般局,1,01,札幌市厚別区,×,◯,◯,◯,×,◯,◯,◯,◯,×,◯,×,×,×,×,×,札幌市
01110010,清田,札幌市清田区平岡1条1丁目2,一般局,1,01,札幌市清田区,×,×,×,×,×,◯,×,×,×,×,◯,×,×,×,×,×,札幌市
