緯度,経度,測定局コード,測定局名称,所在地,測定局種別,問い合わせ先,都道府県コード
43.062222,141.354167,01101010,センター,札幌市中央区北１西２,一般局,札幌市,01
43.062222,141.353889,01101520,北１条,札幌市中央区北１西２,自排局,札幌市,01
43.041111,141.343889,01101540,南１４条,札幌市中央区南１４条西１０丁目,自排局,札幌市,01
43.146944,141.371389,01102010,篠路,札幌市北区篠路４－９,一般局,札幌市,01
43.083611,141.358333,01103010,東,札幌市東区北１８東５,一般局,札幌市,01
43.104167,141.373611,01103520,東１８丁目,札幌市東区北３３東１８,自排局,札幌市,01
43.068611,141.414444,01104030,北白石,札幌市白石区菊水元町８－３,一般局,札幌市,01
43.023889,141.427500,01105010,東月寒,札幌市豊平区月寒東４－１８,一般局,札幌市,01
43.031667,141.395833,01105520,月寒中央,札幌市豊平区月寒中央通７丁目,自排局,札幌市,01
43.088611,141.285833,01107020,発寒,札幌市西区発寒５－７,一般局,札幌市,01
43.123333,141.245000,01107030,手稲,札幌市手稲区前田２－１２,一般局,札幌市,01
43.041944,141.464722,01108010,厚別,札幌市厚別区厚別中央４－３,一般局,札幌市,01
38.298333,140.947778,04201020,岩切,仙台市宮城野区岩切字三所南８８－１,一般局,仙台市,04
38.287778,140.914444,04201030,鶴谷,仙台市宮城野区鶴ヶ谷３－１７－１,一般局,仙台市,04
38.216389,140.893333,04201050,長町,仙台市太白区郡山６－５－１,一般局,仙台市,04
38.293056,140.842778,04201060,中山,仙台市青葉区中山６－１６－１,一般局,仙台市,04
38.264722,140.976389,04201070,中野,仙台市宮城野区白鳥1-32-1,一般局,仙台市,04
38.237778,140.946389,04201080,七郷,仙台市若林区荒井字堀添５３－２,一般局,仙台市,04
38.277222,140.973889,04201210,福室,仙台市宮城野区福室５－１６－１,一般局,仙台市,04
38.217778,140.831111,04201220,山田,仙台市太白区山田北前町３６－１,一般局,仙台市,04
38.256667,140.901944,04201230,榴岡,仙台市宮城野区五輪１－２－３,一般局,仙台市,04
38.264444,140.914444,04201540,苦竹,仙台市宮城野区原町３ー７,自排局,仙台市,04
38.268056,140.866667,04201550,木町,仙台市青葉区木町通１－７－３６,自排局,仙台市,04
38.248056,140.884722,04201560,五橋,仙台市若林区清水小路３－１,自排局,仙台市,04
38.311944,141.025556,04203010,塩釜,塩竃市旭町1-1,一般局,宮城県,04
38.313333,141.031389,04203510,塩釜自排,塩竃市中の島１－９,自排局,宮城県,04
38.556944,140.978611,04204020,古川2,大崎市古川旭４－１－１,一般局,宮城県,04
38.568333,140.981944,04204510,古川自排,大崎市李埣３－１－３,自排局,宮城県,04
38.900000,141.574167,04205020,気仙沼,気仙沼市笹ヶ陣３－１,一般局,宮城県,04
37.999444,140.620278,04206010,白石,白石市南町１－２－７９,一般局,宮城県,04
38.171111,140.893333,04207510,名取自排,名取市増田５－１８－３２,自排局,宮城県,04
38.108056,140.870833,04211010,岩沼,岩沼市中央３丁目１－１３,一般局,宮城県,04
38.055278,140.768889,04323010,柴田,柴田郡柴田町船岡中央２－３－４５,一般局,宮城県,04
37.854167,140.823056,04341010,丸森,伊具郡丸森町大内字南平１９３－６,一般局,宮城県,04
38.387222,141.076389,04401010,松島,宮城郡松島町高城字迎山３－５,一般局,宮城県,04
38.330278,140.982222,04406010,利府,宮城郡利府町中央2-４,一般局,宮城県,04
38.443611,140.890556,04421010,大和,黒川郡大和町吉岡字町裏３２,一般局,宮城県,04
38.550556,141.175556,04501010,国設箟岳,遠田郡涌谷町小塚字桜清水二1-5,一般局,宮城県,04
38.735000,141.020833,04521010,築館,栗原市築館藤木５－１,一般局,宮城県,04
38.688611,141.213889,04541010,迫,登米市迫町佐沼字北散田１４７,一般局,宮城県,04
38.421111,141.219167,04562020,矢本２,東松島市矢本字町裏１５４,一般局,宮城県,04
38.267778,140.344444,06201090,山形銅町,山形市銅町２－１０－８,一般局,山形県,06
38.266389,140.365278,06201510,山形下山家,山形市下山家８１－５,自排局,山形県,06
37.916667,140.116944,06202010,米沢金池,米沢市金池２－９,一般局,山形県,06
38.739167,139.826944,06203010,鶴岡錦町,鶴岡市錦町6-60,一般局,山形県,06
38.910833,139.852222,06204050,酒田若浜,酒田市若浜町１－４０,一般局,山形県,06
38.754167,140.301944,06205010,新庄下田,新庄市下田町８－１,一般局,山形県,06
38.843889,139.906389,06422010,余目,東田川郡庄内町大字余目字猿田８７,一般局,山形県,06
37.773333,140.493611,07201180,古川,福島市古川44-2,一般局,福島市,07
37.737778,140.467500,07201190,南町,福島市郷野目字向町17-2,一般局,福島市,07
37.764167,140.451111,07201200,森合,福島市森合字中谷地4-4,一般局,福島市,07
37.491389,139.927222,07202070,会津若松,会津若松市西栄町４－６１,一般局,福島県,07
37.388056,140.399167,07203130,芳賀,郡山市芳賀２丁目６番１号,一般局,郡山市,07
37.387778,140.382500,07203140,堤下,郡山市堤下町４ノ４,一般局,郡山市,07
37.444722,140.396389,07203150,日和田,郡山市日和田町日向６０,一般局,郡山市,07
37.353611,140.367500,07203180,安積,郡山市安積３－３７,一般局,郡山市,07
37.390000,140.343611,07203520,台新,郡山市台新１－８０４,自排局,郡山市,07
36.891111,140.784722,07204020,上中田,いわき市錦町重殿１５,一般局,いわき市,07
36.907778,140.778333,07204030,花ノ井,いわき市錦町鬼越下６４,一般局,いわき市,07
36.933333,140.866111,07204070,下川,いわき市泉町下川字宿ノ川１９,一般局,いわき市,07
36.949722,140.871944,07204090,滝尻,いわき市泉町滝尻字高見坪１,一般局,いわき市,07
36.960000,140.894722,07204110,大原,いわき市小名浜大原字六反田２２,一般局,いわき市,07
36.943611,140.882222,07204160,中原,いわき市小名浜字中原５－１,一般局,いわき市,07
36.925833,140.825000,07204170,金山,いわき市金山町朝日台１,一般局,いわき市,07
37.055556,140.888889,07204210,揚土,いわき市平字揚土５,一般局,いわき市,07
37.051389,140.897222,07204510,平,いわき市平字正内町２２,自排局,いわき市,07
37.123889,140.205000,07205050,白河,白河市寺小路28,一般局,福島県,07
37.636944,140.953889,07206050,原町１,南相馬市仲町２丁目１６５,一般局,福島県,07
37.284167,140.375556,07207010,須賀川,須賀川市大町１０８－１,一般局,福島県,07
37.801389,140.923333,07209080,相馬１,相馬市中村字高池前４３,一般局,福島県,07
37.213333,140.996667,07541010,広野１,双葉郡広野町大字下北迫字岩作６７－１,一般局,福島県,07
37.262778,140.993056,07542010,楢葉,双葉郡楢葉町大字下小塙字麦入３１,一般局,福島県,07
37.355833,140.997222,07543010,富岡,双葉郡富岡町字夜の森南４丁目４２,一般局,福島県,07
37.438333,141.009167,07546010,双葉,双葉郡双葉町大字新山字清戸迫１,一般局,福島県,07
37.870556,140.917500,07561020,新地１,相馬郡新地町谷地小屋字愛宕３７－２,一般局,福島県,07
37.561944,140.997222,07563010,小高,南相馬市東町２丁目７８,一般局,福島県,07
36.388889,140.429722,08201030,水戸石川,水戸市石川一丁目４０４３－８,一般局,茨城県,08
36.316667,140.502778,08201040,水戸東部,水戸市元石川町２２９７－１,一般局,茨城県,08
36.377778,140.461389,08201510,水戸大工町,水戸市大工町１－６,自排局,茨城県,08
36.596944,140.654722,08202020,日立市役所,日立市宮田町１－４４－１,一般局,茨城県,08
36.554167,140.628889,08202050,日立多賀,日立市末広町１－２,一般局,茨城県,08
36.067778,140.194167,08203010,土浦保健所,土浦市下高津２－７－４６,一般局,茨城県,08
36.038333,140.168611,08203520,土浦中村南,土浦市中村南１丁目１４１３番地－１,自排局,茨城県,08
36.200833,139.718889,08204010,古河保健所,古河市北町６－２２,一般局,茨城県,08
36.199167,140.288611,08205020,石岡杉並,石岡市杉並２－１－２,一般局,茨城県,08
35.904167,140.196667,08208010,竜ヶ崎保健所,龍ケ崎市光順田２９８３－１,一般局,茨城県,08
36.181389,139.963333,08210010,下妻,下妻市下妻乙２０９,一般局,茨城県,08
36.030833,139.994722,08211010,常総,常総市水海道森下町４４７４－２,一般局,茨城県,08
36.521667,140.519722,08212010,常陸太田,常陸太田市稲木町６６０,一般局,茨城県,08
36.393056,140.537500,08213010,常陸那珂勝田,ひたちなか市東石川２－１０－１,一般局,茨城県,08
36.711944,140.714722,08214010,高萩本町,高萩市本町２－３７,一般局,茨城県,08
36.778056,140.736944,08215010,北茨城中郷,北茨城市中郷町上桜井５３－５,一般局,茨城県,08
36.382778,140.241944,08216010,笠間,笠間市石井７１７,一般局,茨城県,08
35.908333,140.052778,08217010,取手市役所,取手市大字寺田５１３９,一般局,茨城県,08
36.101667,140.023611,08220010,つくば高野,つくば市高野１１９７－２０,一般局,茨城県,08
36.381389,140.504444,08221010,ひたちなか,ひたちなか市市毛８２３－１,一般局,茨城県,08
